what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1353924885919
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1353924885919
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1353924885920
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1353924885921
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1353924885922
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1353924885922
started,bundle,org.eclipse.jdt.core,3.7.3.v20120119-1537,"org.eclipse.jdt.core",1353924885923
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110928-1453,"org.eclipse.jdt.core.manipulation",1353924885924
started,bundle,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui",1353924885926
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1353924885926
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1353924885927
started,bundle,org.eclipse.jgit,2.0.0.201206130900-r,"org.eclipse.jgit",1353924885927
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1353924885928
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1353924885928
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1353924885929
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1353924885929
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1353924885929
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1353924885930
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1353924885930
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1353924885930
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1353924885931
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1353924885931
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1353924885932
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1353924885932
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1353924885933
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1353924885933
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1353924885934
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1353924885934
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1353924885935
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1353924885936
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1353924885936
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1353924885937
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1353924885938
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1353924885938
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1353924885939
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1353924885940
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1353924885940
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1353924885941
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1353924885941
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1353924885942
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1353924885942
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1353924885943
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1353924885943
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1353924885944
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1353924885944
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1353924885945
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1353924885946
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1353924885946
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1353924885947
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1353924885947
started,bundle,OperationRecorder,5.0.3,"OperationRecorder",1353924885947
started,bundle,OperationRecorderBase,5.0.2,"OperationRecorderBase",1353924885948
os,sysinfo,,,"win32",1353924885950
arch,sysinfo,,,"x86_64",1353924885950
ws,sysinfo,,,"win32",1353924885950
locale,sysinfo,,,"ja_JP",1353924885950
processors,sysinfo,,,"8",1353924885950
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1353924885950
java.runtime.version,sysinfo,,,"1.6.0_25-b06",1353924885950
java.specification.name,sysinfo,,,"Java Platform API Specification",1353924885950
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1353924885950
java.specification.version,sysinfo,,,"1.6",1353924885950
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1353924885950
java.version,sysinfo,,,"1.6.0_25",1353924885950
java.vm.info,sysinfo,,,"mixed mode",1353924885950
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1353924885950
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1353924885950
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1353924885950
java.vm.specification.version,sysinfo,,,"1.0",1353924885950
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1353924885950
java.vm.version,sysinfo,,,"20.0-b11",1353924885950
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.ContentOutline",1353924886393
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1353924886966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353924887544
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1353924889293
